time,HS,d,f,lw_in,lw_out,rh,sw_in,sw_out,t,max_glob,max_diff,max_direct,max_up,Diff_ratio,Glob_sum_ratio,f_QC1,HS_QC1,lw_out_QC1,d_QC1,sw_in_QC1,lw_in_QC1,t_QC1,sw_out_QC1,rh_QC1
1996-07-18 23:00:00,1.5555357,148.19312,8.442,301.5961200000001,307.61625,99.466667,2.1121687,1.7542417,2.7062,100.0,50.0,0.0,50.0,0.5,279.38657882752636,Good,Good,Good,Good,Good,Good,Good,Good,Good
1996-07-19 00:00:00,1.5556936,144.08646000000005,8.695,299.43126,308.00986,99.56,0.14442120000000003,0.5880006,2.6484667,100.0,50.0,0.0,50.0,0.5,-225.43878277485385,Good,Good,Good,Good,Good,Good,Good,Good,Good
1996-07-19 01:00:00,1.5561591,143.13062,8.3511667,300.39228,308.55201,99.88,0.0584562,0.378246,2.4754333,100.0,50.0,0.0,50.0,0.5,-312.7054083651198,Good,Good,Good,Good,Good,Good,Good,Good,Good
1996-07-19 02:00:00,1.5581628,156.04637,8.683,290.02284,309.40236,99.973333,0.013754399999999998,0.4435794,2.7930333,140.945373295054,75.9320697535342,52.13318492269979,82.7562986360432,0.5387340355939074,-327.9133910197266,Good,Good,Good,Good,Good,Good,Good,Good,Good
1996-07-19 03:00:00,1.5598315,152.76308999999995,8.253,294.6672,309.01989,99.826667,0.9975065999999999,1.1797177,2.7476667,254.53771149131472,147.8738839444993,157.69053469247578,173.63016919305176,0.58095078752032,-1396.9385591290238,Good,Good,Good,Good,Good,Good,Good,Good,Good
1996-07-19 04:00:00,1.560801,153.41423,9.026666699999998,296.45244,309.04217,99.153333,7.2033113,5.1808239999999985,2.8729333,412.958805194833,248.20724329006092,283.9114282613263,300.36704415586644,0.6010460127444366,204.1836332889866,Good,Good,Good,Good,Good,Good,Good,Good,Good
1996-07-19 05:00:00,1.5668358999999998,156.68675,10.381333,285.04332,308.9567600000001,99.063333,19.033519,13.168449,2.9049,601.398358615597,367.55229378987804,420.49675808985677,451.1186868924775,0.6111627817474821,102.53899077344298,Good,Good,Good,Good,Good,Good,Good,Good,Good
1996-07-19 06:00:00,1.5714179,154.8226,10.504333,273.71286000000003,308.58543,99.616667,73.750676,46.980307,2.7928667000000003,803.6399282645114,495.63862123419045,557.7021152040313,612.911942611609,0.61674215504018,30.01975535953619,Good,Good,Good,Good,Good,Good,Good,Good,Good
1996-07-19 07:00:00,1.577066,167.46757,10.553333,304.31502,309.7477,97.793333,233.41495,141.66442,3.1711333,1002.134884784758,621.3520936970134,686.0194980214839,771.7079078278064,0.6200284044901496,10.922387966421098,Good,Good,Good,Good,Good,Good,Good,Good,Good
1996-07-19 08:00:00,1.583491,173.50347,11.556667,274.76964,309.06073,97.283333,269.04787000000005,162.36201,3.13,1179.3833967209605,733.6094845899416,796.6300289170138,913.5067173767684,0.6220279907531309,11.054730183746562,Good,Good,Good,Good,Good,Good,Good,Good,Good
1996-07-19 09:00:00,1.5854427,180.85567,12.752333,288.6822,308.84165,97.003333,433.83323,260.48611,2.8327333,1319.5572159235492,822.386236751581,881.9528719058783,1025.6457727388392,0.6232289337874587,7.612224627230894,Good,Good,Good,Good,Good,Good,Good,Good,Good
1996-07-19 10:00:00,1.5865622,176.76305,11.703333,271.38384,308.55201,96.986667,585.57969,341.58844,2.5420667000000003,1410.023905324508,879.6818067055216,936.1445483989532,1098.0191242596063,0.6238772288779518,5.7789937357364565,Good,Good,Good,Good,Good,Good,Good,Good,Good
1996-07-19 11:00:00,1.591356,182.77,10.216333,255.74418,309.0458799999999,94.696667,691.9539900000002,398.55458,2.6441,1442.577731397448,900.2992298850502,955.4906204837486,1124.0621851179583,0.6240906193754399,4.916771071207835,Good,Good,Good,Good,Good,Good,Good,Good,Good
1996-07-19 12:00:00,1.5953211,184.7376,6.2629333,296.3532600000001,308.37748,97.78,614.93283,360.64315,2.2963333,1414.2430400365158,882.3539253564601,938.6563735724703,1101.3944320292126,0.6239054394311728,5.561543197649688,Good,Good,Good,Good,Good,Good,Good,Good,Good
1996-07-19 13:00:00,1.6006163999999998,188.95165,5.575,299.83824,310.45695,96.803333,655.19918,385.6963,2.4298,1327.5669663533981,827.4590786904854,886.7772771653441,1032.0535730827182,0.6232898977317698,4.925984339586273,Good,Good,Good,Good,Good,Good,Good,Good,Good
1996-07-19 14:00:00,1.604402,162.91732,3.9177333,311.0661,309.90366,95.676667,735.50959,433.84712,2.5672333,1190.3717126926613,740.5687513720187,803.382514962379,922.2973701541289,0.6221323503200753,3.946038473704274,Good,Good,Good,Good,Good,Good,Good,Good,Good
1996-07-19 15:00:00,1.6081027,176.9187,4.3652667,310.22478,308.30693,97.556667,606.29465,365.72463,2.2977667,1014.9917197607134,629.4947558484517,694.1572520386773,781.9933758085707,0.6201969371699472,4.219111424443965,Good,Good,Good,Good,Good,Good,Good,Good,Good
1996-07-19 16:00:00,1.6218867,184.1452,5.518,253.55196,308.06185,96.243333,639.32952,380.32305,2.7839667,817.0748179386154,504.1473846944564,566.5617984843097,623.6598543508923,0.6170149582707267,3.1546502214350687,Good,Good,Good,Good,Good,Good,Good,Good,Good
1996-07-19 17:00:00,1.6235371,204.63977,6.3217667,238.81176,306.76961,95.256667,557.63325,334.86059,2.8804,614.0782849378937,375.5829137939993,429.3399269229767,461.26262795031494,0.6116205751062909,2.756524453844084,Good,Good,Good,Good,Good,Good,Good,Good,Good
1996-07-19 18:00:00,1.6256973999999995,208.4802,5.3332667,237.24882,306.75475,91.526667,441.59265,271.50352000000004,3.0352,423.65163990628093,254.97937194064457,291.9723588185027,308.9213119250247,0.6018609346043141,2.490762577868915,Good,Good,Good,Good,Good,Good,Good,Good,Good
1996-07-19 19:00:00,1.6272448,213.38029,4.5059,235.46016,306.2757299999999,86.10333299999998,320.80401,202.01949,3.4708333,262.24098013451385,152.75262075185879,164.21419526334407,179.7927841076111,0.5824895127889846,2.2077033281315934,Good,Good,-c2(p),Good,Good,Good,Good,Good,Good
1996-07-19 20:00:00,1.6319441,221.93634,6.3085333,227.63862000000003,303.24937,86.66,207.79217,134.33117,3.0305,144.95997706247513,78.47465213956758,56.359261807644714,85.96798164998012,0.5413539221639531,1.9732916385902057,Good,Good,-c2(p),Good,Good,Good,Good,Good,Good
1996-07-19 21:00:00,1.6319441,221.92859,6.3454667,223.92108,301.2144600000001,86.45,106.4212,71.201249,2.6132667,100.0,50.0,0.0,50.0,0.5,2.839299804818014,Good,Good,-c2(p),Good,Good,Good,Good,Good,Good
1996-07-19 22:00:00,1.6319441,212.72877000000003,5.518,221.69124,299.84424,84.753333,35.139365999999995,25.013905,2.3152333,100.0,50.0,0.0,50.0,0.5,9.87609354280265,Good,Good,-c2(p),Good,Good,Good,Good,Good,Good
1996-07-19 23:00:00,1.6295706,189.78045,4.7305667,217.63854,296.33514,85.046667,3.0512191000000004,4.1658465,1.0915333,100.0,50.0,0.0,50.0,0.5,-89.71607911307407,Good,Good,-c2(p),Good,Good,Good,Good,Good,Good
1996-07-20 00:00:00,1.6273465,208.22548,4.6707333,218.9997,294.21111,82.446667,0.0,1.0803803,0.44273333,100.0,50.0,0.0,50.0,0.5,-92.5599994742592,Good,Good,-c2(p),Good,Good,Good,Good,Good,Good
1996-07-20 01:00:00,1.6264713,197.36442,4.1569333,216.99900000000002,291.04364,83.446667,0.0,0.85013307,-0.2224,100.0,50.0,0.0,50.0,0.5,-117.62864371338948,Good,Good,-c2(p),Good,Good,Good,Good,Good,Good
1996-07-20 02:00:00,1.6259364,223.65059,3.3082667000000003,218.72268,287.6830700000001,83.47,0.0,0.90848507,-0.82936667,137.29096675824562,73.61761228022222,48.227005603810596,79.83277340659649,0.5362159945297406,-151.12077379350396,Good,Good,-c2(p),Good,Good,Good,Good,Good,Good
1996-07-20 03:00:00,1.6264713,201.31133,3.0666333,221.13378,284.16283,83.71,1.9173842,2.8984272,-1.6200667,249.84906340864669,144.90440682547623,153.69708220135422,169.87925072691735,0.5799677807415844,-254.67697482031542,Good,Good,-c2(p),Good,Good,Good,Good,Good,Good
1996-07-20 04:00:00,1.6264713,171.40081,1.7780333,225.35748,284.04029,74.42699999999999,13.660516,10.712663,-0.82076667,407.82651012860725,244.95678974811793,280.0328268099112,296.2612081028858,0.6006396927724765,138.34696307061688,Good,Good,-c2(p),Good,Good,Good,Good,Good,Good
1996-07-20 05:00:00,1.6267162,157.66222,1.4687,221.91696,283.00056,75.19,53.853686,34.605167,0.1685,596.0778334912651,364.1826278778012,416.7850318221022,446.86226679301205,0.6109648898446044,30.96746474319739,Good,Good,-c2(p),Good,Good,Good,Good,Good,Good
1996-07-20 06:00:00,1.6278191999999998,184.58162,3.6836,222.32736,289.82195,87.75,190.53317,115.77488,-1.2352333,798.2833226642086,492.24610435399876,554.1750727838431,608.6266581313669,0.6166308256461698,10.678191310478189,Good,Good,Good,Good,-r3(p)-r4(p),Good,Good,Good,Good
1996-07-20 07:00:00,1.6305538999999998,185.7474,3.7903333,230.83632000000003,301.68234,79.42666700000002,320.79359,195.31248,0.91466667,996.8367744768997,617.9966238353697,682.6767341818778,767.4694195815197,0.6199576898230603,7.9441182380112805,Good,Good,Good,Good,-r3(p)-r4(p),Good,Good,Good,Good
